ballnumber,inningno,over,outcome,batter,bowler,comment
3,1,0.3,4,Rohit Sharma,Deepak Chahar,"Deepak Chahar to Rohit Sharma, Four,"
4,1,0.4,1,Rohit Sharma,Deepak Chahar,"Deepak Chahar to Rohit Sharma, 1 run,"
5,1,0.5,1,Ishan Kishan,Deepak Chahar,"Deepak Chahar to Ishan Kishan, 1 run,"
6,1,0.6,4,Rohit Sharma,Deepak Chahar,"Deepak Chahar to Rohit Sharma, Four,"
7,1,1.1,0,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, no run,"
8,1,1.2,1wd,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, 1 wide,"
9,1,1.2,1lb,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, 1 leg bye,"
10,1,1.3,0,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, no run,"
11,1,1.4,4,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, Four,"
12,1,1.5,0,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, no run,"
13,1,1.6,0,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, no run,"
14,1,2.1,4,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, Four,"
15,1,2.2,0,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, no run,"
16,1,2.3,4,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, Four,"
17,1,2.4,4,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, Four,"
18,1,2.5,1,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, 1 run,"
19,1,2.6,1,Rohit Sharma,Sisanda Magala,"Sisanda Magala to Rohit Sharma, 1 run,"
20,1,3.1,6,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, Six,"
21,1,3.2,1,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, 1 run,"
22,1,3.3,0,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, no run,"
23,1,3.4,0,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, no run,"
24,1,3.5,1,Ishan Kishan,Tushar Deshpande,"Tushar Deshpande to Ishan Kishan, 1 run,"
25,1,3.6,w,Rohit Sharma,Tushar Deshpande,"Tushar Deshpande to Rohit Sharma, no run,                           Wicket - b TU Deshpande batsmen out 21(13)"
26,1,4.1,1,Ishan Kishan,Mitchell Santner,"Mitchell Santner to Ishan Kishan, 1 run,"
27,1,4.2,1,Cameron Green,Mitchell Santner,"Mitchell Santner to Cameron Green, 1 run,"
28,1,4.3,1,Ishan Kishan,Mitchell Santner,"Mitchell Santner to Ishan Kishan, 1 run,"
29,1,4.4,4,Cameron Green,Mitchell Santner,"Mitchell Santner to Cameron Green, Four,"
30,1,4.5,1,Cameron Green,Mitchell Santner,"Mitchell Santner to Cameron Green, 1 run,"
31,1,4.6,1,Ishan Kishan,Mitchell Santner,"Mitchell Santner to Ishan Kishan, 1 run,"
32,1,5.1,2,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, 2 runs,"
33,1,5.2,4,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, Four,"
34,1,5.3,4,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, Four,"
35,1,5.4,2,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, 2 runs,"
36,1,5.5,1,Ishan Kishan,Sisanda Magala,"Sisanda Magala to Ishan Kishan, 1 run,"
37,1,5.6,1,Cameron Green,Sisanda Magala,"Sisanda Magala to Cameron Green, 1 run,"
38,1,6.1,1,Cameron Green,Ravindra Jadeja,"Ravindra Jadeja to Cameron Green, 1 run,"
39,1,6.2,1,Ishan Kishan,Ravindra Jadeja,"Ravindra Jadeja to Ishan Kishan, 1 run,"
40,1,6.3,1,Cameron Green,Ravindra Jadeja,"Ravindra Jadeja to Cameron Green, 1 run,"
41,1,6.4,w,Ishan Kishan,Ravindra Jadeja,"Ravindra Jadeja to Ishan Kishan, no run,                           Wicket - c Dwaine Pretorius b RA Jadeja batsmen out 32(21)"
42,1,6.5,1,Suryakumar Yadav,Ravindra Jadeja,"Ravindra Jadeja to Suryakumar Yadav, 1 run,"
43,1,6.6,1,Cameron Green,Ravindra Jadeja,"Ravindra Jadeja to Cameron Green, 1 run,"
44,1,7.1,1,Cameron Green,Mitchell Santner,"Mitchell Santner to Cameron Green, 1 run,"
45,1,7.2,w,Suryakumar Yadav,Mitchell Santner,"Mitchell Santner to Suryakumar Yadav, no run,                           Wicket - c MS Dhoni b Mitchell Santner batsmen out 1(2)"
46,1,7.3,1,Tilak Varma,Mitchell Santner,"Mitchell Santner to Tilak Varma, 1 run,"
47,1,7.4,1,Cameron Green,Mitchell Santner,"Mitchell Santner to Cameron Green, 1 run,"
48,1,7.5,4,Tilak Varma,Mitchell Santner,"Mitchell Santner to Tilak Varma, Four,"
49,1,7.6,0,Tilak Varma,Mitchell Santner,"Mitchell Santner to Tilak Varma, no run,"
50,1,8.1,0,Cameron Green,Ravindra Jadeja,"Ravindra Jadeja to Cameron Green, no run,"
51,1,8.2,w,Cameron Green,Ravindra Jadeja,"Ravindra Jadeja to Cameron Green, no run,                           Wicket - c &amp; b RA Jadeja batsmen out 12(11)"
52,1,8.3,1,Arshad Khan,Ravindra Jadeja,"Ravindra Jadeja to Arshad Khan, 1 run,"
53,1,8.4,1,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, 1 run,"
54,1,8.5,0,Arshad Khan,Ravindra Jadeja,"Ravindra Jadeja to Arshad Khan, no run,"
55,1,8.6,1,Arshad Khan,Ravindra Jadeja,"Ravindra Jadeja to Arshad Khan, 1 run,"
56,1,9.1,w,Arshad Khan,Mitchell Santner,"Mitchell Santner to Arshad Khan, no run,                           Wicket - lbw b Mitchell Santner batsmen out 2(4)"
57,1,9.2,2,Tim David,Mitchell Santner,"Mitchell Santner to Tim David, 2 runs,"
58,1,9.3,1,Tim David,Mitchell Santner,"Mitchell Santner to Tim David, 1 run,"
59,1,9.4,4,Tilak Varma,Mitchell Santner,"Mitchell Santner to Tilak Varma, Four,"
60,1,9.5,1,Tilak Varma,Mitchell Santner,"Mitchell Santner to Tilak Varma, 1 run,"
61,1,9.6,0,Tim David,Mitchell Santner,"Mitchell Santner to Tim David, no run,"
62,1,10.1,0,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, no run,"
63,1,10.2,0,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, no run,"
64,1,10.3,1,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, 1 run,"
65,1,10.4,1,Tim David,Ravindra Jadeja,"Ravindra Jadeja to Tim David, 1 run,"
66,1,10.5,0,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, no run,"
67,1,10.6,1,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, 1 run,"
68,1,11.1,1,rius,Dwaine Pre,"Dwaine Pretorius to Tilak Varma, 1 run,"
