ballnumber,inningno,over,outcome,batter,bowler,comment
69,1,10.6,0,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, no run,"
70,1,11.1,0,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, no run,"
71,1,11.2,1,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, 1 run,"
72,1,11.3,2,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 2 runs,"
73,1,11.4,2,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 2 runs,"
74,1,11.5,1,Ravichandran Ashwin,Sisanda Magala,"Sisanda Magala to Ravichandran Ashwin, 1 run,"
75,1,11.6,1,Jos Buttler,Sisanda Magala,"Sisanda Magala to Jos Buttler, 1 run,"
76,1,12.1,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
77,1,12.2,1wd,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, 1 wide,"
78,1,12.2,0,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, no run,"
79,1,12.3,1,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, 1 run,"
80,1,12.4,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
81,1,12.5,1,Ravichandran Ashwin,Ravindra Jadeja,"Ravindra Jadeja to Ravichandran Ashwin, 1 run,"
82,1,12.6,1,Jos Buttler,Ravindra Jadeja,"Ravindra Jadeja to Jos Buttler, 1 run,"
83,1,13.1,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
84,1,13.2,0,Ravichandran Ashwin,Maheesh Theekshana,"Maheesh Theekshana to Ravichandran Ashwin, no run,"
85,1,13.3,4,Ravichandran Ashwin,Maheesh Theekshana,"Maheesh Theekshana to Ravichandran Ashwin, Four,"
86,1,13.4,1,Ravichandran Ashwin,Maheesh Theekshana,"Maheesh Theekshana to Ravichandran Ashwin, 1 run,"
87,1,13.5,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
88,1,13.6,2,Ravichandran Ashwin,Maheesh Theekshana,"Maheesh Theekshana to Ravichandran Ashwin, 2 runs,"
89,1,14.1,1,Jos Buttler,Akash Singh,"Akash Singh to Jos Buttler, 1 run,"
90,1,14.2,6,Ravichandran Ashwin,Akash Singh,"Akash Singh to Ravichandran Ashwin, Six,"
91,1,14.3,6,Ravichandran Ashwin,Akash Singh,"Akash Singh to Ravichandran Ashwin, Six,"
92,1,14.4,1,Ravichandran Ashwin,Akash Singh,"Akash Singh to Ravichandran Ashwin, 1 run,"
93,1,14.5,1,Jos Buttler,Akash Singh,"Akash Singh to Jos Buttler, 1 run,"
94,1,14.6,1wd,Ravichandran Ashwin,Akash Singh,"Akash Singh to Ravichandran Ashwin, 1 wide,"
95,1,14.6,w,Ravichandran Ashwin,Akash Singh,"Akash Singh to Ravichandran Ashwin, no run,                           Wicket - c Sisanda Magala b Akash Singh batsmen out 30(22)"
96,1,15.1,2,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 2 runs,"
97,1,15.2,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
